impl,m,n,k,time_ms,gflops
cublas,512,512,512,0.06,4161.02
tiled,512,512,512,0.13,2114.06
naive,512,512,512,0.16,1659.14
cublas,1024,1024,1024,0.23,9446.63
tiled,1024,1024,1024,0.70,3048.19
naive,1024,1024,1024,0.88,2427.26
cublas,2048,2048,2048,1.43,12009.46
tiled,2048,2048,2048,4.68,3669.56
naive,2048,2048,2048,6.89,2491.79
cublas,4096,4096,4096,10.43,13175.39
tiled,4096,4096,4096,37.50,3665.45
naive,4096,4096,4096,51.17,2685.75
