impl,m,n,k,time_ms,gflops
cublas,512,512,512,0.06,4161.02
tiled,512,512,512,0.24,1099.14
naive,512,512,512,0.37,720.86
cublas,1024,1024,1024,0.22,9939.11
tiled,1024,1024,1024,1.26,1701.67
naive,1024,1024,1024,1.81,1187.05
cublas,2048,2048,2048,1.50,11459.85
tiled,2048,2048,2048,9.22,1862.35
naive,2048,2048,2048,15.00,1145.43
cublas,4096,4096,4096,13.03,10550.05
tiled,4096,4096,4096,87.28,1574.66
naive,4096,4096,4096,91.65,1499.67
