impl,m,n,k,time_ms,gflops,max_abs_error
cublas,512,512,512,0.06,4443.12,NA
tiled,512,512,512,0.22,1245.15,0.000152588
naive,512,512,512,0.35,767.77,0.000152588
cublas,1024,1024,1024,0.20,10754.63,NA
tiled,1024,1024,1024,1.07,2012.74,0.000183105
naive,1024,1024,1024,1.54,1394.06,0.000183105
cublas,2048,2048,2048,1.29,13368.30,NA
tiled,2048,2048,2048,9.24,1858.33,0
naive,2048,2048,2048,16.45,1044.23,0
cublas,4096,4096,4096,13.28,10346.73,NA
tiled,4096,4096,4096,86.88,1581.90,0
naive,4096,4096,4096,123.30,1114.69,0
